,network,Vs,Es,secs,tangCounts,timings
0,constructed_20_30,19,29,19.55,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.89-3.94-5.32-5.37
1,constructed_20_40,20,40,19.08,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.41-4.73-5.11-4.81
2,constructed_20_50,20,50,20.42,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",5.15-5.13-4.9-5.23
3,constructed_20_60,20,60,17.73,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.84-3.81-4.19-4.87
4,constructed_50_60,36,46,23.91,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",5.09-5.3-5.84-7.66
5,constructed_50_70,45,65,23.17,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.73-5.33-5.68-7.41
6,constructed_50_80,46,76,21.76,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",5.23-5.3-5.32-5.89
7,constructed_50_90,47,87,21.03,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.54-5.17-5.44-5.85
8,constructed_50_100,46,96,20.95,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.39-5.02-5.63-5.91
9,constructed_50_110,49,109,17.82,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.35-4.2-4.23-5.01
10,constructed_50_120,50,120,18.95,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.51-4.62-4.76-5.03
11,constructed_50_130,48,128,18.6,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.67-4.58-4.7-4.63
12,constructed_50_140,50,140,18.04,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.52-4.37-4.52-4.61
13,constructed_50_150,49,149,17.71,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.27-4.34-4.46-4.63
14,constructed_100_110,50,60,225.39,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.54-5.24-7.48-208.11
15,constructed_100_120,64,84,198.79,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.86-5.19-10.28-178.44
16,constructed_100_130,83,113,221.06,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.43-2.7-6.39-209.52
17,constructed_100_140,76,116,56.82,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.47-2.59-3.51-48.22
18,constructed_100_150,89,139,170.0,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.56-2.74-5.24-159.44
19,constructed_100_160,90,150,92.55,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.48-2.69-4.27-83.1
20,constructed_100_170,93,163,52.45,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.47-2.57-3.48-43.91
21,constructed_100_180,98,178,146.66,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.53-2.69-5.27-136.16
22,constructed_100_190,98,188,35.92,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.55-2.56-3.17-27.62
23,constructed_100_200,93,193,22.38,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.52-2.62-2.94-14.3
24,constructed_100_210,95,205,24.46,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.6-2.51-3.08-16.26
25,constructed_100_220,97,217,23.85,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.45-2.57-2.97-15.85
26,constructed_100_230,99,229,14.92,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.57-2.54-3.11-6.69
27,constructed_100_240,94,234,17.36,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.53-2.64-2.77-9.41
28,constructed_100_250,99,249,10.78,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.58-2.49-2.65-3.05
29,constructed_100_260,94,254,11.0,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.56-2.54-2.76-3.13
30,constructed_100_270,97,267,12.4,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.63-2.63-2.83-4.3
31,constructed_100_280,99,279,10.88,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.54-2.5-2.7-3.12
32,constructed_100_290,97,287,11.01,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.69-2.55-2.88-2.88
33,constructed_100_300,98,298,10.98,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.65-2.71-2.74-2.87
